State,Year,Data.Population,Data.Rates.Property.All,Data.Rates.Violent.All,Data.Totals.Property.All,Data.Totals.Violent.All
North Carolina,1960,4556155,956,223.5,43556,10182
North Carolina,1961,4614000,989.5,201,45657,9275
North Carolina,1962,4731000,1029.5,201.5,48704,9533
North Carolina,1963,4760000,1089.9,210.9,51877,10038
North Carolina,1964,4852000,1244.8,254.4,60397,12345
North Carolina,1965,4914000,1308.9,259.6,64317,12755
North Carolina,1966,5000000,1408.7,295.5,70436,14775
North Carolina,1967,5029000,1574.2,318.1,79167,15995
North Carolina,1968,5135000,1655.9,351,85031,18025
North Carolina,1969,5205000,1903.6,348.1,99083,18117
North Carolina,1970,5082059,2272.5,370.2,115488,18814
North Carolina,1971,5146000,2341.5,387.7,120495,19952
North Carolina,1972,5214000,2235.5,423.6,116561,22087
North Carolina,1973,5273000,2374,437.8,125183,23086
North Carolina,1974,5363000,3022.3,488.9,162087,26220
North Carolina,1975,5451000,3380.3,436.5,184259,23791
North Carolina,1976,5469000,3477.8,403.4,190203,22061
North Carolina,1977,5525000,3384,407.1,186968,22492
North Carolina,1978,5577000,3468.7,413.4,193452,23054
North Carolina,1979,5606000,3926.4,446.1,220113,25009
North Carolina,1980,5843665,4185.5,455,244585,26589
North Carolina,1981,5951000,4083.5,436.7,243012,25986
North Carolina,1982,6019000,4096.9,446.3,246593,26865
North Carolina,1983,6082000,3774.1,409.6,229540,24911
North Carolina,1984,6165000,3640.5,403.6,224437,24885
North Carolina,1985,6255000,3700.5,420.9,231465,26327
North Carolina,1986,6331000,3856,475.9,244121,30128
North Carolina,1987,6413000,4165.9,484,267157,31039
North Carolina,1988,6526000,4360.4,501.9,284557,32753
North Carolina,1989,6571000,4707.4,546.4,309323,35902
North Carolina,1990,6628637,4862.3,623.5,322306,41332
North Carolina,1991,6737000,5230.3,658.4,352368,44355
North Carolina,1992,6843000,5121.2,681,350447,46600
North Carolina,1993,6945000,4973,679.3,345377,47178
North Carolina,1994,7070000,4970.3,655,351397,46308
North Carolina,1995,7195000,4993.1,646.4,359256,46508
North Carolina,1996,7323000,4938.1,588.1,361616,43068
North Carolina,1997,7425000,4884.5,607,362672,45071
North Carolina,1998,7546000,4742.8,579.4,357892,43723
North Carolina,1999,7650789,4633.5,542.1,354497,41474
North Carolina,2000,8049313,4421.8,497.6,355921,40051
North Carolina,2001,8206105,4433,493.1,363777,40465
North Carolina,2002,8305820,4258.6,471,353708,39118
North Carolina,2003,8421190,4270.9,454.1,359660,38243
North Carolina,2004,8540468,4160.5,447.8,355328,38244
North Carolina,2005,8672459,4080,469,353855,40650
North Carolina,2006,8856505,4116.2,475.2,364549,42088
North Carolina,2007,9061032,4082.2,466.1,369893,42231
North Carolina,2008,9222414,4041.9,467.6,372763,43125
North Carolina,2009,9380884,3663.9,404.5,343707,37946
North Carolina,2010,9560234,3443.5,362.7,329202,34679
North Carolina,2011,9651103,3500.2,346.3,337806,33421
North Carolina,2012,9752073,3369.5,353.4,328594,34464
North Carolina,2013,9848060,218.4,342.2,21513,33700
North Carolina,2014,9943964,215.4,329.5,21421,32767
North Carolina,2015,10042802,227.3,347,22826,34852
North Carolina,2016,10146788,2737.5,372.2,277765,37769
North Carolina,2017,10273419,2545.3,363.7,261486,37364
North Carolina,2018,10383620,2494.1,377.6,258979,39210
North Carolina,2019,10488084,2357.3,371.8,247236,38995
